"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"124","And at the same time he's challenging people who thought that the original Twin Peaks was all about a charming, cosy aesthetic.",FALSE,1,"SimoneWebbUCL",2017-05-23 09:20:02,FALSE,"866946661288955905","866946813227667456","757935023714668544","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimoneWebbUCL",0,FALSE,FALSE,NA,NA
"125","Like, with Twin Peaks: The Return, Lynch is saying ""I'll remind you what 'Lynchian' really is"".",FALSE,1,"SimoneWebbUCL",2017-05-23 09:18:56,FALSE,"866946397203030022","866946538962071552","757935023714668544","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimoneWebbUCL",0,FALSE,FALSE,NA,NA
"126","I liked a @YouTube video https://t.co/o2UU9AVS2q Twin Peaks 2017 Part 1 &amp; 2 Reaction &amp; Review",FALSE,0,NA,2017-05-23 09:18:43,FALSE,NA,"866946483152703488",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Jesspurrr",0,FALSE,FALSE,NA,NA
"127","‚ÄòTwin Peaks‚Äô premiere: debating whether the return lived up to expectations &amp; what David Lynch is trying to say https://t.co/0UM6HpfP6t",FALSE,0,NA,2017-05-23 09:18:24,FALSE,NA,"866946404517916672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saruppa",0,FALSE,FALSE,NA,NA
"128","Twin Peaks season three increasingly resembles John from Cincinnati. Enjoying it.",FALSE,0,NA,2017-05-23 09:18:09,FALSE,NA,"866946342517649408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thecoldgun",0,FALSE,FALSE,NA,NA
"129","My Twin Peaks: The Return thoughts (no plot spoilers, but references to the style of the show, my reaction, for anyone who hasn't seen yet):",FALSE,0,NA,2017-05-23 09:17:49,FALSE,NA,"866946258040221696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimoneWebbUCL",0,FALSE,FALSE,NA,NA
"130","I'm wearing my Twin Peaks sign @BHCreatives necklace which is helping. 'Cos only cool people wear BHC Ì†ΩÌ∏é",FALSE,0,"ChristaBass",2017-05-23 09:15:49,FALSE,"866945559575363586","866945752618192896","21210788","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChristaBass",0,FALSE,FALSE,NA,NA
"131","This year‚Äôs Twin Peaks UK Festival are on sale now! Oct 7-8. Get your tickets here.   https://t.co/HYmb514XgF #DavidLynch #TwinPeaks",FALSE,1,NA,2017-05-23 09:14:47,FALSE,NA,"866945495553462273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Undercranked",0,FALSE,FALSE,NA,NA
"132","‚ÄòTwin Peaks‚Äô season 3 premiere review: David Lynch remains a master ‚Äî but the brutality toward women feels dated https://t.co/IGbxJNHkix",FALSE,0,NA,2017-05-23 09:12:34,FALSE,NA,"866944935198695424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Saruppa",0,FALSE,FALSE,NA,NA
"133","RT @theQuietus: Twin Peaks Season Three is here, and it's almost nothing like Twin Peaks: https://t.co/WgQKqTKwT4 https://t.co/EF6yV9qBwq",FALSE,0,NA,2017-05-23 09:11:46,FALSE,NA,"866944734358519809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imsivia",12,TRUE,FALSE,NA,NA
"134","Review: In ‚ÄòTwin Peaks,‚Äô an Old Log Learns Some New Tricks https://t.co/KeYRUUsVaJ",FALSE,0,NA,2017-05-23 09:10:15,FALSE,NA,"866944353121349633",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","cshislop",0,FALSE,FALSE,NA,NA
"135","Stayed off all social media yesterday because I wanted to avoid any Twin Peaks reactions at all.",FALSE,0,NA,2017-05-23 09:07:37,FALSE,NA,"866943691772112896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SimoneWebbUCL",0,FALSE,FALSE,NA,NA
"136","Will millennials with their tiny concentration spans be able to cope with Twin Peaks? THE DATA TELLS US: https://t.co/VtBxxSyGmg",FALSE,0,NA,2017-05-23 09:06:32,FALSE,NA,"866943417431068672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Natalie_KateM",0,FALSE,FALSE,NA,NA
"137","RT @theQuietus: Twin Peaks Season Three is here, and it's almost nothing like Twin Peaks: https://t.co/WgQKqTKwT4 https://t.co/EF6yV9qBwq",FALSE,0,NA,2017-05-23 08:59:37,FALSE,NA,"866941675834298368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ruvyn",12,TRUE,FALSE,NA,NA
"138","Hello les festivaliers je cherche une invitation pour Twin Peaks. Possiblit√© d'√©change contre Good Times #Cannes70 #cannes2017",FALSE,1,NA,2017-05-23 08:59:29,FALSE,NA,"866941645589229568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NRaffin",0,FALSE,FALSE,NA,NA
"139","I bloody love @DAVID_LYNCH New Twin Peaks blew my mind in many ways still beautifully strange &amp; strangely beautiful #TwinPeaksTheReturn",FALSE,0,NA,2017-05-23 08:59:18,FALSE,NA,"866941598499831808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AJacobsArtist",0,FALSE,FALSE,NA,NA
"140","Love the new Chromatics tune at the end of Twin Peaks pilot. Shows lynch still has his finger on the pulse musically as well as the rest.",FALSE,3,NA,2017-05-23 08:59:17,FALSE,NA,"866941594435538945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","street_trash2",0,FALSE,FALSE,NA,NA
"141","RT @backrowfilms: NEW EPISODE! Here's our spoiler-special in which we try and work out WTF was happening in Eps 1&amp;2 of #TwinPeaks 
https://‚Ä¶",FALSE,0,NA,2017-05-23 08:58:32,FALSE,NA,"866941405075304448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","backrowfilms",3,TRUE,FALSE,NA,NA
"142","RT @MMuncer: Me and @RhiannaDhillon drank a bottle of prosecco and tried to decipher the fuck out of the new #TwinPeaks https://t.co/YBYA1k‚Ä¶",FALSE,0,NA,2017-05-23 08:39:13,FALSE,NA,"866936542752894976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MMuncer",1,TRUE,FALSE,NA,NA
"143","@RafyAtm17 @_ivanATM Estar√° llamando a Rafa Nadal para decirle que lo de Twin Peaks era broma , que si estaba en casa Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,1,"RafyAtm17",2017-05-23 08:38:44,FALSE,"866921912806625281","866936420400742400","467484389","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrJabat",0,FALSE,FALSE,NA,NA
"144","@RicheySG @_schlemihl yeah it definitely had less of a soap opera vibe than classic twin peaks, but I really liked it all in all.",FALSE,0,"RicheySG",2017-05-23 08:29:09,FALSE,"866933530626056193","866934008655089664","20383880","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bogperson92",0,FALSE,FALSE,NA,NA
"145","@bogperson92 @_schlemihl We only watched the first part, watching in full tonight. I'm intrigued, but not sure I was watching Twin Peaks",FALSE,1,"bogperson92",2017-05-23 08:27:15,FALSE,"866930062775418880","866933530626056193","405237311","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RicheySG",0,FALSE,FALSE,NA,NA
"146","@neilstewart @StuartEvers in case you weren't aware by the way, The Man From Another Place won't be back due to, er‚Ä¶ https://t.co/p41fpBYv2L",FALSE,2,"neilstewart",2017-05-23 08:26:05,TRUE,"866932267834322945","866933236278202368","7288952","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robinparker55",0,FALSE,FALSE,NA,NA
"147","Here are seven things you need to keep in mind as you watch the new #TwinPeaks https://t.co/AZlRh9HCKB",FALSE,1,NA,2017-05-23 08:24:16,FALSE,NA,"866932780214759426",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FOXCinemas",0,FALSE,FALSE,NA,NA
"148","I don't think I have a lot to say today. Will watch twin peaks and hug the kids a bit more when they get home",FALSE,16,NA,2017-05-23 08:20:43,FALSE,NA,"866931885796184064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ViolasDisguise",0,FALSE,FALSE,NA,NA
